id,difficultyID,title,bpm,artistname,calories,duration
1,1,MIA (feat. Drake),97,Bad Bunny,,3.5
2,1,ZEZE (feat. Travis Scott & Offset),98,Kodak Black,,3.8
3,1,Let Me Love You (feat. Justin Bieber),100,DJ Snake,,3.42
4,1,APESHIT,160,The Carters,,4.4
5,2,Titanium (feat. Sia),126,David Guetta,,4.1
6,2,Break Free,130,Ariana Grande,,3.57
7,2,Body,122,Loud Luxury,,2.72
8,2,Money,130,Cardi B,,3.05
9,2,Calling My Spirit,120,Kodak Black,,2.53
10,2,Youngblood,120,5 Seconds of Summer,,3.38
11,2,Jackie Chan,128,Tiësto,,3.58
12,2,Pure Cocaine,127,Lil Baby,,2.56
13,2,Girls Like You (feat. Cardi B),125,Maroon 5,,3.91
14,2,YOSEMITE,128,Travis Scott,,2.5
15,3,Portland,136,Drake,,3.93
16,3,Without Me,136,Halsey,,3.35
17,3,DNA.,140,Kendrick Lamar,,3.08
18,3,Look Alive (feat. Drake),140,BlocBoy JB,,3.01
19,3,Jumpin on a Jet,140,Future,,2.28
20,3,I Got the Keys (feat. Jay-Z & Future),140,DJ Khaled,,3.65
21,3,TOKYO,140,BROCKHAMPTON,,3.2
22,3,BUTTERFLY EFFECT,141,Travis Scott,,3.16
23,3,Self-Made,143,Bryson Tiller,,2.78
24,3,1998 TRUMAN,135,BROCKHAMPTON,,4.08
25,3,I Like It,136,Cardi B,,4.21
26,3,Beat It - Single Version,139,Michael Jackson,,4.3
27,3,Somebody Told Me,138,The Killers,,3.28
28,4,Wild for the Night (feat. Skrillex & Birdy Nam Nam),140,A$AP Rocky,,3.53
29,4,Jumpman,142,Drake,,3.41
30,4,Wake Up in the Sky,143,Gucci Mane,,3.4
31,4,Better Now,145,Post Malone,,3.85
32,4,Walk It Talk It,146,Migos,,4.6
33,4,Mo Bamba,146,Sheck Wes,,3.05
34,4,No Stylist,147,French Montana,,3.2
35,4,BOOM - Snavs Remix,150,Tiësto,,2.73
36,4,POWER,154,Kanye West,,4.86
37,4,Nonstop,155,Drake,,3.96
38,4,Juicebox,155,The Strokes,,3.23
39,4,SICKO MODE,155,Travis Scott,,5.2
40,4,Crushed Up,158,Future,,2.5
41,4,Reptilia,158,The Strokes,,3.65
42,4,Side To Side,159,Ariana Grande,,3.76
43,4,Dum Dee Dum,160,Keys N Krates,,3.2
44,4,Kyoto (feat. Sirah),175,Skrillex,,3.33